Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SmokeTest,Chrome 69.0.3497.92,,2018-09-15 15:39:15,2018-09-15 15:42:20,3m - 5.714s,FAILED
,,,,,,
Test Cases/Login/LoginWithValidCreds,Chrome 69.0.3497.92,Login with valid username and password and click on login button,2018-09-15 15:39:15,2018-09-15 15:39:35,19.320s,PASSED
callTestCase,Chrome 69.0.3497.92,,2018-09-15 15:39:16,2018-09-15 15:39:27,10.839s,PASSED
setText,Chrome 69.0.3497.92,,2018-09-15 15:39:27,2018-09-15 15:39:27,0.410s,PASSED
setEncryptedText,Chrome 69.0.3497.92,,2018-09-15 15:39:27,2018-09-15 15:39:27,0.400s,PASSED
click,Chrome 69.0.3497.92,,2018-09-15 15:39:27,2018-09-15 15:39:34,7.008s,PASSED
verifyTextPresent,Chrome 69.0.3497.92,,2018-09-15 15:39:34,2018-09-15 15:39:35,0.183s,PASSED
,,,,,,
Test Cases/Login/PageLoad,Chrome 69.0.3497.92,Verify the page gets loaded succesfully.,2018-09-15 15:39:35,2018-09-15 15:39:49,14.336s,FAILED
callTestCase,Chrome 69.0.3497.92,,2018-09-15 15:39:35,2018-09-15 15:39:38,2.997s,PASSED
navigateToUrl,Chrome 69.0.3497.92,,2018-09-15 15:39:38,2018-09-15 15:39:48,9.768s,PASSED
verifyElementPresent,Chrome 69.0.3497.92,,2018-09-15 15:39:48,2018-09-15 15:39:48,0.079s,PASSED
callTestCase,Chrome 69.0.3497.92,,2018-09-15 15:39:48,2018-09-15 15:39:49,1.160s,FAILED
,,,,,,
Test Cases/Login/SecurePageLoad,Chrome 69.0.3497.92,Verify the page gets loaded succesfully.,2018-09-15 15:39:49,2018-09-15 15:39:59,10.247s,FAILED
callTestCase,Chrome 69.0.3497.92,,2018-09-15 15:39:49,2018-09-15 15:39:51,2.063s,PASSED
navigateToUrl,Chrome 69.0.3497.92,,2018-09-15 15:39:51,2018-09-15 15:39:58,6.647s,PASSED
verifyElementPresent,Chrome 69.0.3497.92,,2018-09-15 15:39:58,2018-09-15 15:39:58,0.041s,PASSED
callTestCase,Chrome 69.0.3497.92,,2018-09-15 15:39:58,2018-09-15 15:39:59,1.263s,FAILED
,,,,,,
Test Cases/Login/ValidationCheck,Chrome 69.0.3497.92,Test the validation messages in case invalid credentials,2018-09-15 15:39:59,2018-09-15 15:40:36,36.675s,FAILED
callTestCase,Chrome 69.0.3497.92,,2018-09-15 15:40:00,2018-09-15 15:40:06,6.863s,PASSED
navigateToUrl,Chrome 69.0.3497.92,,2018-09-15 15:40:06,2018-09-15 15:40:08,1.746s,PASSED
click,Chrome 69.0.3497.92,,2018-09-15 15:40:08,2018-09-15 15:40:26,17.991s,PASSED
verifyTextPresent,Chrome 69.0.3497.92,,2018-09-15 15:40:26,2018-09-15 15:40:26,0.080s,PASSED
navigateToUrl,Chrome 69.0.3497.92,,2018-09-15 15:40:26,2018-09-15 15:40:27,1.208s,PASSED
setText,Chrome 69.0.3497.92,,2018-09-15 15:40:27,2018-09-15 15:40:28,0.207s,PASSED
setEncryptedText,Chrome 69.0.3497.92,,2018-09-15 15:40:28,2018-09-15 15:40:28,0.166s,PASSED
click,Chrome 69.0.3497.92,,2018-09-15 15:40:28,2018-09-15 15:40:29,1.476s,PASSED
verifyTextPresent,Chrome 69.0.3497.92,,2018-09-15 15:40:29,2018-09-15 15:40:29,0.071s,PASSED
navigateToUrl,Chrome 69.0.3497.92,,2018-09-15 15:40:29,2018-09-15 15:40:30,0.448s,PASSED
setText,Chrome 69.0.3497.92,,2018-09-15 15:40:30,2018-09-15 15:40:30,0.178s,PASSED
setEncryptedText,Chrome 69.0.3497.92,,2018-09-15 15:40:30,2018-09-15 15:40:30,0.126s,PASSED
click,Chrome 69.0.3497.92,,2018-09-15 15:40:30,2018-09-15 15:40:31,1.166s,PASSED
verifyTextPresent,Chrome 69.0.3497.92,,2018-09-15 15:40:31,2018-09-15 15:40:31,0.090s,PASSED
navigateToUrl,Chrome 69.0.3497.92,,2018-09-15 15:40:31,2018-09-15 15:40:32,0.444s,PASSED
setText,Chrome 69.0.3497.92,,2018-09-15 15:40:32,2018-09-15 15:40:32,0.366s,PASSED
setEncryptedText,Chrome 69.0.3497.92,,2018-09-15 15:40:32,2018-09-15 15:40:32,0.209s,PASSED
click,Chrome 69.0.3497.92,,2018-09-15 15:40:32,2018-09-15 15:40:35,2.539s,PASSED
verifyTextPresent,Chrome 69.0.3497.92,,2018-09-15 15:40:35,2018-09-15 15:40:35,0.066s,PASSED
callTestCase,Chrome 69.0.3497.92,,2018-09-15 15:40:35,2018-09-15 15:40:36,0.873s,FAILED
,,,,,,
Test Cases/HomePage/CheckHomePageLinks,Chrome 69.0.3497.92,Check the links on home page,2018-09-15 15:40:36,2018-09-15 15:42:20,1m - 44.418s,PASSED
callTestCase,Chrome 69.0.3497.92,,2018-09-15 15:40:36,2018-09-15 15:40:48,11.741s,PASSED
setText,Chrome 69.0.3497.92,,2018-09-15 15:40:48,2018-09-15 15:40:48,0.244s,PASSED
setEncryptedText,Chrome 69.0.3497.92,,2018-09-15 15:40:48,2018-09-15 15:40:48,0.184s,PASSED
click,Chrome 69.0.3497.92,,2018-09-15 15:40:48,2018-09-15 15:40:58,9.590s,PASSED
verifyTextPresent,Chrome 69.0.3497.92,,2018-09-15 15:40:58,2018-09-15 15:40:58,0.213s,PASSED
click,Chrome 69.0.3497.92,,2018-09-15 15:40:58,2018-09-15 15:41:01,2.968s,PASSED
click,Chrome 69.0.3497.92,,2018-09-15 15:41:01,2018-09-15 15:41:09,7.568s,PASSED
click,Chrome 69.0.3497.92,,2018-09-15 15:41:09,2018-09-15 15:41:34,24.981s,PASSED
click,Chrome 69.0.3497.92,,2018-09-15 15:41:34,2018-09-15 15:42:13,39.319s,PASSED
click,Chrome 69.0.3497.92,,2018-09-15 15:42:13,2018-09-15 15:42:17,3.843s,PASSED
click,Chrome 69.0.3497.92,,2018-09-15 15:42:17,2018-09-15 15:42:17,0.141s,PASSED
click,Chrome 69.0.3497.92,,2018-09-15 15:42:17,2018-09-15 15:42:20,2.568s,PASSED
closeBrowser,Chrome 69.0.3497.92,,2018-09-15 15:42:20,2018-09-15 15:42:20,0.784s,PASSED
